	PolyIC...Bf	PolyIC...Bf.1	PolyIC...Bf.2	PolyIC...Bf.3	PolyIC...Bf.4	PolyIC...Bf.5	PolyIC...Bf.6	PolyIC...Bf.7	PolyIC...Bf.8	PolyIC...Bf.9	PolyIC	PolyIC.1	PolyIC.2	PolyIC.3	PolyIC.4	PolyIC.5	PolyIC.6	PolyIC.7	PolyIC.8	PolyIC.9
241	17	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	7	2
242	0	0	0	0	2	2	0	0	2	0	1	0	0	0	0	0	2	1	0	0
249	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	2	0
179	2	0	0	0	0	0	1	0	2	0	4	1	0	0	0	1	0	2	1	1
178	0	1	2	2	3	0	0	1	1	1	3	2	1	0	5	0	2	0	0	0
177	0	2	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	1
176	0	1	3	1	0	1	0	2	1	0	2	0	0	2	0	2	3	0	2	3
175	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	4	1	2	1	1
174	1	2	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0
173	0	0	0	0	0	0	5	5	1	0	0	0	0	1	0	4	7	0	11	0
172	0	0	0	0	0	1	1	1	3	5	0	7	0	0	0	0	1	0	0	2
171	1	2	1	0	6	3	4	0	4	0	0	0	0	1	0	1	1	2	1	0
170	1	1	1	4	1	1	1	0	0	2	2	3	1	3	2	0	1	0	1	3
656	0	0	1	0	0	0	1	1	0	0	1	0	0	2	0	0	0	0	0	0
657	0	0	1	1	0	0	1	1	0	0	0	0	1	2	0	1	0	0	1	0
1501	11	0	0	0	0	1	3	0	11	2	6	4	0	2	0	0	0	4	1	1
1505	1	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0
1149	0	2	0	0	2	1	2	4	1	2	0	0	1	0	0	0	0	2	0	4
693	9	2	5	11	6	5	9	4	3	6	0	1	4	4	1	6	7	9	10	7
690	1	1	3	0	0	2	1	0	0	0	2	1	2	2	0	0	0	0	0	0
696	1	1	1	0	0	0	2	0	1	0	0	0	0	0	0	1	3	1	2	1
695	0	0	0	0	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
547	0	1	2	1	1	1	0	0	0	0	1	0	1	0	0	0	2	1	0	0
548	0	5	1	0	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0
416	0	0	0	2	0	0	0	0	0	1	0	0	1	4	0	1	0	0	1	1
419	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	1	3	0	0
368	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	1	3	1
369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	1
366	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	1	0	1	0
367	0	1	0	0	0	0	0	0	4	0	0	1	0	0	0	0	1	0	0	0
364	0	0	1	0	2	0	0	0	0	0	0	0	1	1	2	0	0	0	0	0
365	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	1	0
363	1	1	0	0	0	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1
360	0	1	1	1	2	0	0	0	0	1	0	1	0	0	1	0	0	0	0	1
361	0	0	0	0	1	0	3	0	0	1	2	0	0	0	0	1	0	1	0	1
384	0	1	1	0	3	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0
386	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	1	0
387	1	0	4	0	2	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0
388	1	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
389	1	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	1	0	0	0
258	1	1	0	1	3	1	0	1	1	2	0	0	0	0	2	2	0	3	1	1
259	0	1	0	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0
252	1	0	4	6	5	3	0	9	2	3	0	2	4	2	3	3	4	5	2	5
253	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	0	0	0	1	2
250	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	2	0	2	0	2
251	0	0	0	1	0	0	1	0	2	0	0	1	4	0	1	1	1	1	0	0
256	4	0	1	0	0	0	0	2	1	0	0	1	0	0	1	0	0	1	1	1
257	0	0	2	3	0	2	1	2	1	1	3	1	0	1	2	2	1	0	1	0
254	3	0	0	0	0	0	1	1	0	0	2	1	1	0	0	0	0	0	2	0
255	0	0	0	0	0	0	0	0	0	0	0	0	1	0	12	0	3	0	5	0
168	12	0	0	0	4	0	1	1	0	0	0	0	0	0	0	0	0	8	0	0
169	0	0	1	1	0	4	6	0	0	1	1	0	1	0	0	0	0	0	1	1
164	2	2	1	3	4	1	1	2	1	2	1	0	1	1	3	3	2	1	0	0
166	0	0	1	1	1	8	3	0	3	2	3	23	0	0	0	1	0	1	1	0
167	0	1	0	0	0	1	0	1	0	1	0	0	1	0	0	2	0	0	0	0
160	0	1	1	1	2	0	1	2	1	1	0	0	1	0	2	0	0	1	0	1
161	0	0	0	0	0	2	0	0	1	1	0	0	2	0	0	0	0	0	0	1
162	1	1	0	0	1	0	4	3	2	2	1	0	0	1	1	1	1	1	1	0
163	0	6	5	0	6	1	0	2	1	0	1	4	0	0	1	5	0	2	2	1
671	3	3	1	2	2	1	0	2	4	2	2	6	5	3	2	1	3	2	0	3
809	0	0	1	1	1	1	0	0	1	1	0	0	1	3	0	2	0	1	1	0
808	0	1	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	1	0	1
802	0	0	1	0	0	1	2	0	1	1	0	1	1	2	3	1	2	1	0	0
805	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	4	0	0	0	0
1159	1	0	0	0	0	1	0	0	0	0	1	0	1	0	2	0	0	1	0	0
1150	0	1	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0
59	8	8	0	0	0	0	2	0	1	1	7	1	0	0	1	0	0	0	0	0
58	2	0	1	2	2	2	2	0	1	1	0	3	4	1	3	3	1	1	1	0
